metric,count,mean,std,min,p25,median,p75,p90,p95,p99,max,skew,kurtosis,zeros
degree,3272.0,37.54706601466992,71.94160721884616,7.0,7.0,13.0,29.0,90.90000000000009,164.0,408.0,571.0,3.9698969972257885,17.601181020087704,0.0
degree_centrality,3272.0,0.011478772856823524,0.021993765582037958,0.0021400183430143,0.0021400183430143,0.0039743197798838,0.0088657902782023,0.027789666768572238,0.0501375726077652,0.1247324977071231,0.1745643534087435,3.9698969972257867,17.6011810200877,0.0
betweenness_centrality,3272.0,0.00047171313083381206,0.0019633412861621035,0.0,2.1511471562903004e-07,6.181677375846482e-06,5.945215480575032e-05,0.00063521908141477,0.002107162527533478,0.011260469106107623,0.0237682825615881,6.362228836546911,46.95302972996718,69.0
closeness_centrality,3272.0,0.39758312472421553,0.044174413904057526,0.3350747797582463,0.3672804850662475,0.38094683643992855,0.4131615510925855,0.4700995970279006,0.5006811583893641,0.5325766033867791,0.5476310061945421,1.4697174379017726,1.4178117580043734,0.0
eigenvector,3272.0,0.00885743508380796,0.015074440789598452,0.0003266812066622,0.002012951078631525,0.00327386712082675,0.0075548745544555,0.02208265980571928,0.039655175866739334,0.08183963715397649,0.0984560242819936,3.406672040519796,12.359284456820841,0.0
local_clustering_coefficient,3272.0,0.5877647632395315,0.25373280141591464,0.1158010923554151,0.3566132572431958,0.5494505494505495,0.8571428571428571,0.9047619047619048,0.9523809523809524,1.0,1.0,0.03082522240009485,-1.4355967178544362,0.0
