app_id,name,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector,local_clustering_coefficient,global_clustering_coefficient,community
440,Team Fortress 2,173,0.16351606805293006,0.06198148973177755,0.46579921330318,0.40266817531452337,0.01827055757562337,0.25273606515652836,0
431960,Wallpaper Engine,92,0.08695652173913043,0.023984768695444383,0.4293953442561765,0.16301826414357357,0.025093573706296137,0.25273606515652836,0
374320,DARK SOULS™ III,90,0.08506616257088848,0.034235811850501924,0.4171922794105303,0.11342863357223547,0.023265959646616905,0.25273606515652836,1
945360,Among Us,90,0.08506616257088848,0.026424564600140397,0.4256986919947957,0.2134977323984368,0.02650206681890548,0.25273606515652836,0
394360,Hearts of Iron IV,89,0.08412098298676748,0.031048191116029827,0.4158995189165623,0.15235968028662694,0.02229574891534453,0.25273606515652836,0
4000,Garry's Mod,87,0.08223062381852553,0.02691107048533892,0.4266653102781627,0.17971308815799655,0.02627581432201571,0.25273606515652836,0
275850,No Man's Sky,86,0.08128544423440454,0.02658576787360793,0.40937560489434166,0.07292161270099573,0.0212279110876839,0.25273606515652836,1
292030,The Witcher® 3: Wild Hunt,79,0.07466918714555766,0.02320811689460541,0.4033993186915046,0.07738919047598838,0.017635513781366945,0.25273606515652836,2
255710,Cities: Skylines,79,0.07466918714555766,0.024297842916984187,0.41737761582963756,0.08601321958526563,0.025892532809000293,0.25273606515652836,2
335300,DARK SOULS™ II: Scholar of the First Sin,77,0.07277882797731569,0.023916804206158413,0.4070697630990096,0.091098984561616,0.02787915704902127,0.25273606515652836,1
49520,Borderlands 2,77,0.07277882797731569,0.032650541764940845,0.4088411719897799,0.06553954427108534,0.017237032677498966,0.25273606515652836,1
960090,Bloons TD 6,76,0.07183364839319471,0.021722771375360543,0.41645257678746195,0.18118354136071105,0.027356264258094055,0.25273606515652836,0
550,Left 4 Dead 2,75,0.07088846880907372,0.016615122081102076,0.407953544608126,0.15142345970806095,0.027598702998140486,0.25273606515652836,0
620,Portal 2,75,0.07088846880907372,0.018142976453505637,0.412249676714574,0.1718988431311543,0.03209354705153884,0.25273606515652836,0
220,Half-Life 2,69,0.06521739130434782,0.014015613381053631,0.3999646714484948,0.1741105406307129,0.03285675549533773,0.25273606515652836,0
262060,Darkest Dungeon®,69,0.06521739130434782,0.021876622161277098,0.3964206806888246,0.04903195741263869,0.018556109522682107,0.25273606515652836,1
700330,SCP: Secret Laboratory,67,0.06332703213610587,0.021463077681434958,0.4033993186915046,0.1412626234768053,0.029014176627438756,0.25273606515652836,0
346110,ARK: Survival Evolved,67,0.06332703213610587,0.016346503258715533,0.3992847485051059,0.07166604656283201,0.025420599978567306,0.25273606515652836,0
304930,Unturned,65,0.0614366729678639,0.013718380718554172,0.40013501415354097,0.08592659353970368,0.02360918629200059,0.25273606515652836,0
477160,Human: Fall Flat,64,0.06049149338374291,0.011118255034747783,0.4075995719013077,0.12798379815619376,0.03907924741297378,0.25273606515652836,0
240,Counter-Strike: Source,64,0.06049149338374291,0.023905222394478468,0.40866333763919716,0.0878252538103325,0.02620468539740686,0.25273606515652836,0
105600,Terraria,63,0.05954631379962193,0.010121255547921176,0.40636549015247153,0.15783982981329703,0.03690467823769572,0.25273606515652836,0
284160,BeamNG.drive,61,0.057655954631379965,0.014375317161537338,0.38520582748360566,0.09433384727139672,0.025360040035577226,0.25273606515652836,0
