metric,count,mean,std,min,p25,median,p75,p90,p95,p99,max,skew,kurtosis,zeros
degree,3272.0,33.18031784841076,66.68642795680286,6.0,6.0,12.0,24.0,77.0,154.89999999999964,373.5799999999999,575.0,4.082884301791208,18.79148897473196,0.0
degree_centrality,3272.0,0.010143784117520815,0.020387168436809194,0.0018343014368694,0.0018343014368694,0.0036686028737389,0.0073372057474778,0.023540201773158,0.0473555487618464,0.11420972179761532,0.1757872210333231,4.082884301791207,18.79148897473195,0.0
betweenness_centrality,3272.0,0.00048719618815273435,0.0020860472606355823,0.0,0.0,3.880176909051076e-06,5.271769133734567e-05,0.00056466016095927,0.0021699848764720874,0.011188349454285287,0.0269751749159072,6.5486903022869045,49.80019503761962,1526.0
closeness_centrality,3272.0,0.3897202433899236,0.04317907571084635,0.3273946551896707,0.3615563170111639,0.3728485124814772,0.4007105230920005,0.4561237225471036,0.4939520807368919,0.5287994454319752,0.5479979896130005,1.672323143402172,2.1405281064838295,0.0
eigenvector,3272.0,0.008561586301653911,0.01524446577819885,0.0002879573903184,0.001870193134718325,0.0028985165096512503,0.006967377579958225,0.020701018883728512,0.03956838557522164,0.08237302507491606,0.1053407024712469,3.4896595898716174,12.99596586694231,0.0
local_clustering_coefficient,3272.0,0.6967805292474423,0.3045022527998949,0.1127707923041963,0.4052287581699346,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,-0.226804516673751,-1.5994787700237214,0.0
